grouping,engine,source_kind,modality,operation,checkpoint,observed_checkpoints,satisfied,violated,indeterminate,unavailable
engine,mirp,all,all,all,original_image_export_after_extraction,61,54,5,0,2
engine,pyradiomics,all,all,all,feature_input:original,51,49,1,1,0
engine,pyradiomics,all,all,all,loaded_input,51,48,2,1,0
engine,pyradiomics,all,all,all,shape_dispatch,51,48,2,1,0
engine_kind_modality_operation,mirp,public_anatomical,ct,identity,original_image_export_after_extraction,2,0,0,0,2
engine_kind_modality_operation,mirp,public_anatomical,mr,cubic_1p3,original_image_export_after_extraction,12,12,0,0,0
engine_kind_modality_operation,mirp,public_anatomical,mr,identity,original_image_export_after_extraction,11,11,0,0,0
engine_kind_modality_operation,mirp,public_anatomical,mr,linear_1p3,original_image_export_after_extraction,12,7,5,0,0
engine_kind_modality_operation,mirp,synthetic,mr,cubic_1p3,original_image_export_after_extraction,8,8,0,0,0
engine_kind_modality_operation,mirp,synthetic,mr,identity,original_image_export_after_extraction,8,8,0,0,0
engine_kind_modality_operation,mirp,synthetic,mr,linear_1p3,original_image_export_after_extraction,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,feature_input:original,9,9,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,loaded_input,9,8,1,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,shape_dispatch,9,8,1,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,feature_input:original,9,9,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,loaded_input,9,9,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,shape_dispatch,9,9,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,feature_input:original,9,7,1,1,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,loaded_input,9,7,1,1,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,shape_dispatch,9,7,1,1,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,feature_input:original,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,loaded_input,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,shape_dispatch,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,feature_input:original,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,loaded_input,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,shape_dispatch,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,feature_input:original,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,loaded_input,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,shape_dispatch,8,8,0,0,0
