pair_id,engine,input_id,source_kind,modality,operation,checkpoint_index,checkpoint,status,coverage_status,feature_reuse_decision,reason,checkpoint_record_sha256,max_corner_error_mm,max_intensity_error,nominal_mismatched_intensity_voxels,nominal_mismatched_roi_voxels,ambiguous_intensity_voxels,ambiguous_roi_voxels,violating_intensity_voxels,violating_roi_voxels,candidate_roi_voxels,position_check,intensity_check,roi_check,source_roi_outside_candidate_fov,source_roi_definitely_outside_candidate_fov,source_roi_centres_near_fov_boundary
mirp|synthetic_921101|identity,mirp,synthetic_921101,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,000a0aca2a4db0eccc676b7d5907c50a2355efdcf1f1b6f9e22a29188eee5e82,0.0,0.0,0,0,0,0,0,0,1654,True,True,True,0,0,0
mirp|synthetic_921101|cubic_1p3,mirp,synthetic_921101,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,3dc26602250829646ecd530266d695c12629f33c42499746dc46fc6b5038f68e,7.778695046135979e-15,0.0,0,0,0,0,0,0,2144,True,True,True,0,0,0
mirp|synthetic_921101|linear_1p3,mirp,synthetic_921101,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,dc26355c52f8e484c6add9cb3270d20961601203bae7007111e5bdef0eb8f942,7.778695046135979e-15,0.0,0,0,0,0,0,0,2144,True,True,True,0,0,0
mirp|synthetic_921102|identity,mirp,synthetic_921102,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,8a195a566f43bed5adc42a3d57321dcd23de98a5e7ca0c269533ea07a3c153eb,0.0,0.0,0,0,0,0,0,0,2177,True,True,True,0,0,0
mirp|synthetic_921102|cubic_1p3,mirp,synthetic_921102,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,5daef28229f4892d35166251ba17fa599b36784567c484850fc1cf378ce53941,1.0110347025910704e-14,0.0,0,0,0,0,0,0,2602,True,True,True,0,0,0
mirp|synthetic_921102|linear_1p3,mirp,synthetic_921102,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,dcefb20c5f9712ac4ff0038586443ae5d2592f316e2e217515e109536afbcd04,1.0110347025910704e-14,1.52587890625e-05,0,0,0,0,0,0,2602,True,True,True,0,0,0
mirp|synthetic_921103|identity,mirp,synthetic_921103,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,9983937df4830048847344de85c490829ea7d588198e014c0d0c76843fdaec9e,0.0,0.0,0,0,0,0,0,0,2629,True,True,True,0,0,0
mirp|synthetic_921103|cubic_1p3,mirp,synthetic_921103,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,dff25a8fb9d9491728a78b7ff5ad0874f54b4888df4c9f1f37878e05c49b55e0,7.105427357601002e-15,0.0,0,0,0,0,0,0,4258,True,True,True,0,0,0
mirp|synthetic_921103|linear_1p3,mirp,synthetic_921103,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,69d95a990530d59fbec753273a95deeadb59d3d9a122ddbae3f6f83238aa7624,7.105427357601002e-15,0.0,0,0,0,0,0,0,4258,True,True,True,0,0,0
mirp|synthetic_921104|identity,mirp,synthetic_921104,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,b56df3bedd1040faa7710d3d17398519fce408f3345943b3ac2bd972a12e5d80,0.0,0.0,0,0,0,0,0,0,2161,True,True,True,0,0,0
mirp|synthetic_921104|cubic_1p3,mirp,synthetic_921104,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,87cced53c5ffcca76e9948deb2095b943c0664bc94180f1d6b06644574f4dc44,8.036856854696453e-15,0.0,0,0,0,0,0,0,3138,True,True,True,0,0,0
mirp|synthetic_921104|linear_1p3,mirp,synthetic_921104,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,4159922a2c93808807d191bc9ea886e4a7dc832bd0efa06577627ff95a89601c,8.036856854696453e-15,0.0,0,0,0,0,0,0,3138,True,True,True,0,0,0
mirp|synthetic_921105|identity,mirp,synthetic_921105,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,b0ca4b7d50fea464d303244ced8d882f1f8022e9a58ac3845717a223787d8302,0.0,0.0,0,0,0,0,0,0,1711,True,True,True,0,0,0
mirp|synthetic_921105|cubic_1p3,mirp,synthetic_921105,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,ae55af2bfe8194548af8b97961752a5f3236b03fe5d22513d8e5e31f03ace277,1.1003116764628474e-14,0.0,0,0,0,0,0,0,2150,True,True,True,0,0,0
mirp|synthetic_921105|linear_1p3,mirp,synthetic_921105,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,1bbe02687c1b17319ce675d636c86cd5ebb8c52a0ce6bdcf45390fff36c9c046,1.1003116764628474e-14,0.0,0,0,0,0,0,0,2150,True,True,True,0,0,0
mirp|synthetic_921106|identity,mirp,synthetic_921106,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,d177e78d9cbb866d0f67c0f3b790f4cb4391572823e33b9875e5668552d801f8,0.0,0.0,0,0,0,0,0,0,2504,True,True,True,0,0,0
mirp|synthetic_921106|cubic_1p3,mirp,synthetic_921106,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,eccb63d2143eb7b7400dff2bd9f88d1ee632305db9cee6f4b3b0b7d9622432a4,1.609823385706477e-15,0.0,0,0,0,0,0,0,3829,True,True,True,0,0,0
mirp|synthetic_921106|linear_1p3,mirp,synthetic_921106,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,e4e98e3217d4e2715dc4a61152dc084ef6a32501969f4737f13d46f58e922499,1.609823385706477e-15,0.0,0,0,0,0,0,0,3829,True,True,True,0,0,0
mirp|synthetic_921107|identity,mirp,synthetic_921107,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,2ec11dfac13dc7905ed79d3614f19f5cfc70c9268568c8a071d6cd32d557904d,0.0,0.0,0,0,0,0,0,0,2251,True,True,True,0,0,0
mirp|synthetic_921107|cubic_1p3,mirp,synthetic_921107,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,95fd74f8f60a0fe21353f7c76801fad7730906c6df817e6a002ab7a78a4c694a,1.8367062109841608e-14,0.0,0,0,0,0,0,0,3192,True,True,True,0,0,0
mirp|synthetic_921107|linear_1p3,mirp,synthetic_921107,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,44947652ad7d17c1f064f22252746cd344c24e17ca7a9f45b0a18a6a0f3139b3,1.8367062109841608e-14,7.62939453125e-06,0,0,0,0,0,0,3192,True,True,True,0,0,0
mirp|synthetic_921108|identity,mirp,synthetic_921108,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,8951b8845a5f61684db98b320f0a9ebdc265f5064289894f7141d6dfc8aedeb1,0.0,0.0,0,0,0,0,0,0,2793,True,True,True,0,0,0
mirp|synthetic_921108|cubic_1p3,mirp,synthetic_921108,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,b003310fcde6c2129f0bf3e562258571b3e366f544ac66764ae0dae0cea04b9a,1.1874748720719677e-14,0.0,0,0,0,0,0,0,3212,True,True,True,0,0,0
mirp|synthetic_921108|linear_1p3,mirp,synthetic_921108,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,3195118e6afb8a58a12966d4e5827c2d6a846298a1605b35fa228721b6c24acf,1.1874748720719677e-14,0.0,0,0,0,0,0,0,3212,True,True,True,0,0,0
mirp|hippocampus_287|identity,mirp,hippocampus_287,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,e5290a3967bf909cb4871c74d321ef4a382ce94d956c777e83d7cb4ca7150565,0.0,0.0,0,0,0,0,0,0,1766,True,True,True,0,0,0
