engine,input_id,source_kind,modality,operation,completed,total_seconds,pair_id,status,native_values_unchanged,record_present,numeric_digest_equal,baseline_seconds,audited_seconds,baseline_value_count,observed_value_count,baseline_nonfinite_count,observed_nonfinite_count,checkpoint_count,relationship_acceptance,reason,raw_configuration_sha256,baseline_values_sha256,observed_values_sha256,resolved_configuration_sha256
mirp,synthetic_921101,synthetic,mr,identity,True,5.438699799999085,mirp|synthetic_921101|identity,satisfied,True,True,True,3.040665099999387,1.8513359000007767,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,14af28bb1165ee25cf5d830fc6f28f6f3412ba041b28978eada908b79fd9757d,14af28bb1165ee25cf5d830fc6f28f6f3412ba041b28978eada908b79fd9757d,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921101,synthetic,mr,cubic_1p3,True,3.4193610999991506,mirp|synthetic_921101|cubic_1p3,satisfied,True,True,True,1.5655948999992688,1.840180799999871,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,37e65cb54b7e713a74049d0c91dd9349080b6450669661f749263e7c33f4657b,37e65cb54b7e713a74049d0c91dd9349080b6450669661f749263e7c33f4657b,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921101,synthetic,mr,linear_1p3,True,3.6284221000005346,mirp|synthetic_921101|linear_1p3,satisfied,True,True,True,1.8069297000001825,1.8066608000008273,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,bfd8c774692e86cbe97f662ad47f2b3ce60bb676b76aa26b75d5bc15bd4e18ca,bfd8c774692e86cbe97f662ad47f2b3ce60bb676b76aa26b75d5bc15bd4e18ca,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921102,synthetic,mr,identity,True,4.322461900001144,mirp|synthetic_921102|identity,satisfied,True,True,True,2.1254116000000067,2.1812549000005674,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,118962370b2026232599fed9290d80e3f05e3d08deab2c87183aa9d3e659ff8c,118962370b2026232599fed9290d80e3f05e3d08deab2c87183aa9d3e659ff8c,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921102,synthetic,mr,cubic_1p3,True,5.646640700000717,mirp|synthetic_921102|cubic_1p3,satisfied,True,True,True,2.7047022999995534,2.9256517000012536,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,a39f0293a7699b4278dfa60d073045245012b1c6b0e8df6063a9b6cca4816b43,a39f0293a7699b4278dfa60d073045245012b1c6b0e8df6063a9b6cca4816b43,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921102,synthetic,mr,linear_1p3,True,5.086370899998656,mirp|synthetic_921102|linear_1p3,satisfied,True,True,True,2.5735023000015644,2.4979112000000896,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,6048540faa360a7f4a2a2beab58334703adae040e91f14022be97e30dd434a83,6048540faa360a7f4a2a2beab58334703adae040e91f14022be97e30dd434a83,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921103,synthetic,mr,identity,True,12.059798000000228,mirp|synthetic_921103|identity,satisfied,True,True,True,6.02367840000079,6.0101185999992595,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,250f9c68ce5017710aa7be5cbfc5480ee9733e8f7422b25e607cbd699b5c7852,250f9c68ce5017710aa7be5cbfc5480ee9733e8f7422b25e607cbd699b5c7852,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921103,synthetic,mr,cubic_1p3,True,8.627619999999297,mirp|synthetic_921103|cubic_1p3,satisfied,True,True,True,3.9942917999997007,4.612044700001206,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,65af80030f5cecca95969dc2a19724492e24c054736acc0abe4ef6e4df5cabbc,65af80030f5cecca95969dc2a19724492e24c054736acc0abe4ef6e4df5cabbc,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921103,synthetic,mr,linear_1p3,True,11.880553599999985,mirp|synthetic_921103|linear_1p3,satisfied,True,True,True,6.553178300000582,5.29902360000051,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,1fca1ebd63eb9844767ad8dc5ff0b28cb58a77d8f7a58cff5498cc88898116dc,1fca1ebd63eb9844767ad8dc5ff0b28cb58a77d8f7a58cff5498cc88898116dc,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921104,synthetic,mr,identity,True,11.848814900000434,mirp|synthetic_921104|identity,satisfied,True,True,True,5.838997999999265,5.983724600000642,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,3c218e8f458d9b78aa6db4b8fc92bbc6d5f01fa8a6182f51d67ed27e5df78014,3c218e8f458d9b78aa6db4b8fc92bbc6d5f01fa8a6182f51d67ed27e5df78014,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921104,synthetic,mr,cubic_1p3,True,11.034994100000404,mirp|synthetic_921104|cubic_1p3,satisfied,True,True,True,5.039350299999569,5.972879299999477,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,e8c3b9dffdf49193d6f44498f220b901cb2bb1c1d69ece667a9eaea2ae3aa6c8,e8c3b9dffdf49193d6f44498f220b901cb2bb1c1d69ece667a9eaea2ae3aa6c8,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
