grouping,engine,source_kind,modality,operation,checkpoint,observed_checkpoints,satisfied,violated,indeterminate,unavailable
engine,mirp,all,all,all,original_image_export_after_extraction,62,47,0,11,4
engine,pyradiomics,all,all,all,feature_input:original,62,57,0,3,2
engine,pyradiomics,all,all,all,loaded_input,62,52,0,8,2
engine,pyradiomics,all,all,all,shape_dispatch,62,52,0,8,2
engine_kind_modality_operation,mirp,public_anatomical,ct,identity,original_image_export_after_extraction,2,0,0,0,2
engine_kind_modality_operation,mirp,public_anatomical,mr,cubic_1p3,original_image_export_after_extraction,12,7,0,4,1
engine_kind_modality_operation,mirp,public_anatomical,mr,identity,original_image_export_after_extraction,12,12,0,0,0
engine_kind_modality_operation,mirp,public_anatomical,mr,linear_1p3,original_image_export_after_extraction,12,4,0,7,1
engine_kind_modality_operation,mirp,synthetic,mr,cubic_1p3,original_image_export_after_extraction,8,8,0,0,0
engine_kind_modality_operation,mirp,synthetic,mr,identity,original_image_export_after_extraction,8,8,0,0,0
engine_kind_modality_operation,mirp,synthetic,mr,linear_1p3,original_image_export_after_extraction,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,feature_input:original,2,2,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,loaded_input,2,2,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,ct,identity,shape_dispatch,2,2,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,feature_input:original,12,10,0,1,1
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,loaded_input,12,8,0,3,1
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,cubic_1p3,shape_dispatch,12,8,0,3,1
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,feature_input:original,12,12,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,loaded_input,12,12,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,identity,shape_dispatch,12,12,0,0,0
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,feature_input:original,12,9,0,2,1
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,loaded_input,12,6,0,5,1
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,shape_dispatch,12,6,0,5,1
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,feature_input:original,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,loaded_input,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,shape_dispatch,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,feature_input:original,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,loaded_input,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,shape_dispatch,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,feature_input:original,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,loaded_input,8,8,0,0,0
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,shape_dispatch,8,8,0,0,0
