pair_id,engine,input_id,source_kind,modality,operation,checkpoint_index,checkpoint,status,coverage_status,feature_reuse_decision,reason,checkpoint_record_sha256,max_corner_error_mm,max_intensity_error,nominal_mismatched_intensity_voxels,nominal_mismatched_roi_voxels,ambiguous_intensity_voxels,ambiguous_roi_voxels,violating_intensity_voxels,violating_roi_voxels,candidate_roi_voxels,position_check,intensity_check,roi_check,source_roi_outside_candidate_fov,source_roi_definitely_outside_candidate_fov,source_roi_centres_near_fov_boundary
mirp|synthetic_921101|identity,mirp,synthetic_921101,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,8ca790e8958f67a5873bc7e244b09ee584e79f6cb45a6ef5598407dd2b23660a,0.0,0.0,0,0,0,0,0,0,1654,True,True,True,0,0,0
mirp|synthetic_921101|cubic_1p3,mirp,synthetic_921101,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,bb24709c560993a192cc06a31f5f394bfaae210f856f707d92092c3734bf37b5,7.778695046135979e-15,0.0,0,0,0,0,0,0,2144,True,True,True,0,0,0
mirp|synthetic_921101|linear_1p3,mirp,synthetic_921101,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,fa0d0a9b40e0081447c0954cfd303ac2d00466cb9065eb083526b78d0723cefd,7.778695046135979e-15,0.0,0,0,0,0,0,0,2144,True,True,True,0,0,0
mirp|synthetic_921102|identity,mirp,synthetic_921102,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,559da5c69a9bbd618942bf4ff56f0d02628414ccf3017ab544edce0fd2b91e52,0.0,0.0,0,0,0,0,0,0,2177,True,True,True,0,0,0
mirp|synthetic_921102|cubic_1p3,mirp,synthetic_921102,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,3e2db71c58b50bf0f9c1ca4c82ec309cb34fa56230b7b7c015480f6118e0fabe,1.0110347025910704e-14,0.0,0,0,0,0,0,0,2602,True,True,True,0,0,0
mirp|synthetic_921102|linear_1p3,mirp,synthetic_921102,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,8938be351e65a8d415ab5ba8249e1100551770f57acdae6594db9c2dee46c78e,1.0110347025910704e-14,1.52587890625e-05,0,0,0,0,0,0,2602,True,True,True,0,0,0
mirp|synthetic_921103|identity,mirp,synthetic_921103,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,7b29b5744930f4fdca10ee357da03a78f975c178921979134d018dd649a263a1,0.0,0.0,0,0,0,0,0,0,2629,True,True,True,0,0,0
mirp|synthetic_921103|cubic_1p3,mirp,synthetic_921103,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,0fcbda3ae2d0bbed141e8275cf02d72703e5af3b4c7a730a5c07c9eb2182ace6,7.105427357601002e-15,0.0,0,0,0,0,0,0,4258,True,True,True,0,0,0
mirp|synthetic_921103|linear_1p3,mirp,synthetic_921103,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,7d4fc9ee483b3409fdb447ffcd00ea387f811ac3d8032f831e49fb354bbf5336,7.105427357601002e-15,0.0,0,0,0,0,0,0,4258,True,True,True,0,0,0
mirp|synthetic_921104|identity,mirp,synthetic_921104,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,446ee5129b9d1aa5bf44dec32480000ee14413731266f582ce5404498d4b65f8,0.0,0.0,0,0,0,0,0,0,2161,True,True,True,0,0,0
mirp|synthetic_921104|cubic_1p3,mirp,synthetic_921104,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,a7a28b94ea8b2a752b51a99ffcc70a8faa0f64785342734126e0f4990fd73cea,8.036856854696453e-15,0.0,0,0,0,0,0,0,3138,True,True,True,0,0,0
mirp|synthetic_921104|linear_1p3,mirp,synthetic_921104,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,0db798024471c0221bab17a04a9228d0ae0e7fc7a994a141c8820ab45d0a8b9d,8.036856854696453e-15,0.0,0,0,0,0,0,0,3138,True,True,True,0,0,0
mirp|synthetic_921105|identity,mirp,synthetic_921105,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,a45f6c0b42f0a63c4a8114cf4e2a5fddf38a94348dd9a244cf91aab3279c0b17,0.0,0.0,0,0,0,0,0,0,1711,True,True,True,0,0,0
mirp|synthetic_921105|cubic_1p3,mirp,synthetic_921105,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,6c6f0105a11f557ea911e2e2396b150612eb8f9bbcac73bbe382ad69f9715564,1.1003116764628474e-14,0.0,0,0,0,0,0,0,2150,True,True,True,0,0,0
mirp|synthetic_921105|linear_1p3,mirp,synthetic_921105,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,b93e34f546f84c0d66cb4d838bd5d3d4555a5852bbf1365cc0a6a8df03e35412,1.1003116764628474e-14,0.0,0,0,0,0,0,0,2150,True,True,True,0,0,0
mirp|synthetic_921106|identity,mirp,synthetic_921106,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,dadf79c6574ee2f1b7ca33c0f1e7a871d80ca1cd1693102433abbd479fb5b218,0.0,0.0,0,0,0,0,0,0,2504,True,True,True,0,0,0
mirp|synthetic_921106|cubic_1p3,mirp,synthetic_921106,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,7c5b2c2c74e2fbd5231fdad09dcf7ead4cf11a1d930e93aaf6b2b0d5bbd94d11,1.609823385706477e-15,0.0,0,0,0,0,0,0,3829,True,True,True,0,0,0
mirp|synthetic_921106|linear_1p3,mirp,synthetic_921106,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,a205b9df21890ea71e89f9e731644b2b7ca56b03c0153e4c5e74296b1f35d998,1.609823385706477e-15,0.0,0,0,0,0,0,0,3829,True,True,True,0,0,0
mirp|synthetic_921107|identity,mirp,synthetic_921107,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,f187dc8f41c71a122451039683139708e940279cb3f96d640c056e16f9c1a875,0.0,0.0,0,0,0,0,0,0,2251,True,True,True,0,0,0
mirp|synthetic_921107|cubic_1p3,mirp,synthetic_921107,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,0416b04638ca06c1b8665e17633a79e8d1e9508d67bf0ee93ed19091a65b2248,1.8367062109841608e-14,0.0,0,0,0,0,0,0,3192,True,True,True,0,0,0
mirp|synthetic_921107|linear_1p3,mirp,synthetic_921107,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,24c57742d24ddf0a4e6ab93b9b9acc26c540cb7fd7f9b7476f1f0ef6562ca842,1.8367062109841608e-14,7.62939453125e-06,0,0,0,0,0,0,3192,True,True,True,0,0,0
mirp|synthetic_921108|identity,mirp,synthetic_921108,synthetic,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,c9a22413e86bc9449834b9a306bcf600eebb61b97e160bb81417e7d5bd80ebef,0.0,0.0,0,0,0,0,0,0,2793,True,True,True,0,0,0
mirp|synthetic_921108|cubic_1p3,mirp,synthetic_921108,synthetic,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,976f7e711c69dd88e3c7f274c738a23bd98c61b189172c1c2160ae1356299b63,1.1874748720719677e-14,0.0,0,0,0,0,0,0,3212,True,True,True,0,0,0
mirp|synthetic_921108|linear_1p3,mirp,synthetic_921108,synthetic,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,fd2f3aaa8a1b44f08acd0f89ecea560bd2655eb1ec717cf3e7f6c27657228fac,1.1874748720719677e-14,0.0,0,0,0,0,0,0,3212,True,True,True,0,0,0
mirp|hippocampus_287|identity,mirp,hippocampus_287,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,9bc23cc79f16d4c91ad94c20eaddf7a8b33990cb1052649df307b29ad2b098f8,0.0,0.0,0,0,0,0,0,0,1766,True,True,True,0,0,0
mirp|hippocampus_287|cubic_1p3,mirp,hippocampus_287,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,5a93a7ffa69ed79592f7a1cef1ae98a5fe6fd964aa91d58178933a0e08bcf9e6,0.0,0.0,0,0,0,0,0,0,790,True,True,True,0,0,0
mirp|hippocampus_287|linear_1p3,mirp,hippocampus_287,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,3144d432758a8fcbeb8d94c9af3183a9738713a41a09c11394b9784e87ad5520,0.0,6.103515625e-05,0,0,1,0,0,0,790,True,,True,0,0,0
mirp|hippocampus_332|identity,mirp,hippocampus_332,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,6171c699b511858f16a0d72164597d2303a785ad65d8ffeccea7705ee7d93a6d,0.0,0.0,0,0,0,0,0,0,1803,True,True,True,0,0,0
mirp|hippocampus_332|cubic_1p3,mirp,hippocampus_332,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,f0dda31f74985cbb87f3094463008a7eff1e1cdc2aebe8a54772e6099c9ecf67,0.0,0.0,0,0,0,0,0,0,831,True,True,True,0,0,0
mirp|hippocampus_332|linear_1p3,mirp,hippocampus_332,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,f4008debc25ba579af1b602015651c054fee1f539eee13364269403441218321,0.0,6.103515625e-05,0,0,0,0,0,0,831,True,True,True,0,0,0
mirp|hippocampus_155|identity,mirp,hippocampus_155,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,6a6cce3d14c81682213c301578a9cfc3c25d7e64c86a6df44a22ef669ec660bb,0.0,0.0,0,0,0,0,0,0,2046,True,True,True,0,0,0
mirp|hippocampus_155|cubic_1p3,mirp,hippocampus_155,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,c59b6002f88ae4cb67f72699dcf40e1b9f61ef4f0ec8d574d0ed14922d619157,0.0,0.0,0,0,10,0,0,0,934,True,,True,0,0,0
mirp|hippocampus_155|linear_1p3,mirp,hippocampus_155,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,652c05c860573475e4de2f5be58900aa85c8764c646d9b8112a396ce0f273e87,0.0,0.03125,59,0,564,0,0,0,934,True,,True,0,0,0
mirp|hippocampus_238|identity,mirp,hippocampus_238,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,a47749e23513ff6d0ecb5f66ca4372a0855efc9d73dfd8e96c643d3c3afd8f6d,0.0,0.0,0,0,0,0,0,0,2302,True,True,True,0,0,0
mirp|hippocampus_238|cubic_1p3,mirp,hippocampus_238,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,33d101bde7a1bc58f0aa2864162ddeb634bbbb501d9d8d850fe87d472b1da3e6,0.0,0.0,0,0,0,0,0,0,1045,True,True,True,0,0,0
mirp|hippocampus_238|linear_1p3,mirp,hippocampus_238,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,89961768d0296980b0e514adb6187251921ea69a851e83a8a17d05fa7980ae83,0.0,6.103515625e-05,0,0,0,0,0,0,1045,True,True,True,0,0,0
mirp|hippocampus_288|identity,mirp,hippocampus_288,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,bcd56135198abd3df48155706ce0d755ab5156394c20238dc091ed172c6db8e3,0.0,0.0,0,0,0,0,0,0,1850,True,True,True,0,0,0
mirp|hippocampus_288|cubic_1p3,mirp,hippocampus_288,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,ea58d4f729da5c66232037726e254ba576654fec06be67098b06f88c18831f66,0.0,0.0,0,0,0,0,0,0,843,True,True,True,0,0,0
mirp|hippocampus_288|linear_1p3,mirp,hippocampus_288,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,bd21a1926efc94d675767190e12ee04eefce4b7191c73535f9b5749c621e4f3c,0.0,0.0001220703125,1,0,2,0,0,0,843,True,,True,0,0,0
mirp|hippocampus_393|identity,mirp,hippocampus_393,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,0b258db27d083bc57c8c93f072b42c66de0357a822311b36134528b393b5b7bb,0.0,0.0,0,0,0,0,0,0,1864,True,True,True,0,0,0
mirp|hippocampus_393|cubic_1p3,mirp,hippocampus_393,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,0924a814336f515840c6b64f2c76630adc2fc46e2ea93c3b14259e594ed7f7d0,0.0,0.0,0,0,0,0,0,0,846,True,True,True,0,0,0
mirp|hippocampus_393|linear_1p3,mirp,hippocampus_393,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,2d3a9ed281b559bcb59091c2f0dadd72660c2b840c87407542759fdfed77fa04,0.0,6.103515625e-05,0,0,1,0,0,0,846,True,,True,0,0,0
mirp|hippocampus_172|identity,mirp,hippocampus_172,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,f09f767e6136637d50a44c6869080e0f8561b791396fa42128b70bd7512352e8,0.0,0.0,0,0,0,0,0,0,1981,True,True,True,0,0,0
mirp|hippocampus_172|cubic_1p3,mirp,hippocampus_172,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,unavailable,unobserved,unobserved,source_or_configuration_outside_native_profile,5af5e3e3de4022d0a54afc4c095f5de460a682267f159ef31ca09280f710d6bc,,,,,,,,,,unobserved,unobserved,unobserved,,,
mirp|hippocampus_172|linear_1p3,mirp,hippocampus_172,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,unavailable,unobserved,unobserved,source_or_configuration_outside_native_profile,5af5e3e3de4022d0a54afc4c095f5de460a682267f159ef31ca09280f710d6bc,,,,,,,,,,unobserved,unobserved,unobserved,,,
mirp|hippocampus_244|identity,mirp,hippocampus_244,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,14ffd8d0322fe9afe85909d173ef0c26a16c471c727b5b45988574b1070acb2f,0.0,0.0,0,0,0,0,0,0,1697,True,True,True,0,0,0
mirp|hippocampus_244|cubic_1p3,mirp,hippocampus_244,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,39286a2f2c090d1b2a25efb437b21bf491d0c5e228be36bd2de876a299577b6f,0.0,0.0,0,0,0,0,0,0,769,True,True,True,0,0,0
mirp|hippocampus_244|linear_1p3,mirp,hippocampus_244,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,75d2a7160566bb38ccb2615cd99cf3c473735e42d808ac93c46010008bbe9bef,0.0,6.103515625e-05,0,0,0,0,0,0,769,True,True,True,0,0,0
mirp|hippocampus_224|identity,mirp,hippocampus_224,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,6001d5d4fba5fcfd49562210456fdc324e5cde9ca9afc47335e9db174a36ce30,0.0,0.0,0,0,0,0,0,0,2033,True,True,True,0,0,0
mirp|hippocampus_224|cubic_1p3,mirp,hippocampus_224,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,b3b2ae6b3146a224cda7893ac64da6d73c405536309e82b2cb7ea4157efba5fa,0.0,0.0,0,0,2,0,0,0,929,True,,True,0,0,0
mirp|hippocampus_224|linear_1p3,mirp,hippocampus_224,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,2ed7be7561ab2d247fea7198beb617733612f9594e90d74b3157aaf425382b60,0.0,0.0001220703125,11,0,77,0,0,0,929,True,,True,0,0,0
mirp|hippocampus_193|identity,mirp,hippocampus_193,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,3d5d8110ab302fc9e9b37aad0bfadaca775e1e2fdec02016cf5a17f6741912a4,0.0,0.0,0,0,0,0,0,0,1351,True,True,True,0,0,0
mirp|hippocampus_193|cubic_1p3,mirp,hippocampus_193,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,ed99f9a2b551e937097ad81e642ccc5c7e6251efda08189ccb68030b4ab51c17,0.0,0.0,0,0,7,0,0,0,615,True,,True,0,0,0
mirp|hippocampus_193|linear_1p3,mirp,hippocampus_193,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,2f7625a35e09a0736050b52642fc48bb601bd44c2fdf8d4f9ef0f1bfb5813f78,0.0,0.03125,30,0,271,0,0,0,615,True,,True,0,0,0
mirp|hippocampus_169|identity,mirp,hippocampus_169,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,f6f000b5b34881e1982f0326906f493aba98131ae060d8693aa00c1c179d91c8,0.0,0.0,0,0,0,0,0,0,1363,True,True,True,0,0,0
mirp|hippocampus_169|cubic_1p3,mirp,hippocampus_169,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,a39c5addd62663c448c838d339767d3a8a936c79a6c782c87190858b383c2a28,0.0,0.0,0,0,7,0,0,0,644,True,,True,0,0,0
mirp|hippocampus_169|linear_1p3,mirp,hippocampus_169,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,indeterminate,satisfied,blocked,intensity:indeterminate,1efd88a6c9fc7f23344bf28721b964052bccb0fe9451379547faab843e9ab10d,0.0,0.03125,9,0,112,0,0,0,644,True,,True,0,0,0
mirp|hippocampus_248|identity,mirp,hippocampus_248,public_anatomical,mr,identity,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,a869845bfca8d8d995d0823f51bc66f595a0cbf26c998f7dd28ed32aa38205b7,0.0,0.0,0,0,0,0,0,0,1887,True,True,True,0,0,0
mirp|hippocampus_248|cubic_1p3,mirp,hippocampus_248,public_anatomical,mr,cubic_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,f66a2873b04d69f5b0e034d4d4b719f35d450849d213d76b071d5b7c0a848536,0.0,0.0,0,0,0,0,0,0,848,True,True,True,0,0,0
mirp|hippocampus_248|linear_1p3,mirp,hippocampus_248,public_anatomical,mr,linear_1p3,0,original_image_export_after_extraction,satisfied,satisfied,requires_reextraction,,5306003bfe58b76b821576e9438466e5fed2fddd5ac2e515d1b892d330f6124f,0.0,6.103515625e-05,0,0,0,0,0,0,848,True,True,True,0,0,0
mirp|spleen_22|identity,mirp,spleen_22,public_anatomical,ct,identity,0,original_image_export_after_extraction,unavailable,unobserved,unobserved,source_or_configuration_outside_native_profile,5af5e3e3de4022d0a54afc4c095f5de460a682267f159ef31ca09280f710d6bc,,,,,,,,,,unobserved,unobserved,unobserved,,,
mirp|spleen_28|identity,mirp,spleen_28,public_anatomical,ct,identity,0,original_image_export_after_extraction,unavailable,unobserved,unobserved,source_or_configuration_outside_native_profile,5af5e3e3de4022d0a54afc4c095f5de460a682267f159ef31ca09280f710d6bc,,,,,,,,,,unobserved,unobserved,unobserved,,,
pyradiomics|synthetic_921101|identity,pyradiomics,synthetic_921101,synthetic,mr,identity,0,loaded_input,satisfied,satisfied,requires_reextraction,,11f8b446eb42c06955d681014758b2ac7397c089947ec172c0f5183e4c2a1a27,0.0,0.0,0,0,0,0,0,0,1654,True,True,True,0,0,0
pyradiomics|synthetic_921101|identity,pyradiomics,synthetic_921101,synthetic,mr,identity,1,shape_dispatch,satisfied,satisfied,requires_reextraction,,55e6cc40dcc253f10adf1f753fa03ef178710bcda81805ff378ab568ed84d724,0.0,0.0,0,0,0,0,0,0,1654,True,True,True,0,0,0
pyradiomics|synthetic_921101|identity,pyradiomics,synthetic_921101,synthetic,mr,identity,2,feature_input:original,satisfied,satisfied,requires_reextraction,,86bb6fa76d3ffa9d60b320eab1d1bdaa771564b4e48b5d4bbe7b902c1d426d74,7.105427357601002e-15,0.0,0,0,0,0,0,0,1654,True,True,True,0,0,0
pyradiomics|synthetic_921101|cubic_1p3,pyradiomics,synthetic_921101,synthetic,mr,cubic_1p3,0,loaded_input,satisfied,satisfied,requires_reextraction,,0913a141bce4ae25c8c58b7903bb87d8f3944c1a86431321583db117206b70a0,8.192362705716001e-15,6.698257948301034e-09,0,0,0,0,0,0,2110,True,True,True,0,0,0
pyradiomics|synthetic_921101|cubic_1p3,pyradiomics,synthetic_921101,synthetic,mr,cubic_1p3,1,shape_dispatch,satisfied,satisfied,requires_reextraction,,953b663fdf54bfb9762c078cbe92456acc8810f024100f19875f80aa3d617a38,8.192362705716001e-15,6.698257948301034e-09,0,0,0,0,0,0,2110,True,True,True,0,0,0
pyradiomics|synthetic_921101|cubic_1p3,pyradiomics,synthetic_921101,synthetic,mr,cubic_1p3,2,feature_input:original,satisfied,violated,blocked,,14914b5f47060db300ab9619d2378aff8f466e1bf5b86d80173e98e350ce43f3,8.16830133022611e-15,2.4442670110147446e-12,0,0,0,0,0,0,2110,True,True,True,28,28,0
pyradiomics|synthetic_921101|linear_1p3,pyradiomics,synthetic_921101,synthetic,mr,linear_1p3,0,loaded_input,satisfied,satisfied,requires_reextraction,,86f08bd32f65bad96d453cbdaf46f9a54f2038d6a288ebd6bb3712a571b73aef,8.192362705716001e-15,3.694822225952521e-13,0,0,0,0,0,0,2110,True,True,True,0,0,0
pyradiomics|synthetic_921101|linear_1p3,pyradiomics,synthetic_921101,synthetic,mr,linear_1p3,1,shape_dispatch,satisfied,satisfied,requires_reextraction,,875170196ae39b42909ef55243c504b6f7fdd7359382bebd81190de7826fc019,8.192362705716001e-15,3.694822225952521e-13,0,0,0,0,0,0,2110,True,True,True,0,0,0
pyradiomics|synthetic_921101|linear_1p3,pyradiomics,synthetic_921101,synthetic,mr,linear_1p3,2,feature_input:original,satisfied,violated,blocked,,18e66c099337b9735f4b9a1dec34ee0ac967759a809360e6df52d0c2644671a5,8.16830133022611e-15,2.8421709430404007e-13,0,0,0,0,0,0,2110,True,True,True,28,28,0
pyradiomics|synthetic_921102|identity,pyradiomics,synthetic_921102,synthetic,mr,identity,0,loaded_input,satisfied,satisfied,requires_reextraction,,32933852be18252c68dcbe37fe24caefe33d94a9c21a5574f98fb25a4e6ab447,0.0,0.0,0,0,0,0,0,0,2177,True,True,True,0,0,0
pyradiomics|synthetic_921102|identity,pyradiomics,synthetic_921102,synthetic,mr,identity,1,shape_dispatch,satisfied,satisfied,requires_reextraction,,4663f9dc43ed0b08a6a5445a4e6b4fa5ec6d43d7b8ec3538fda2b85920050586,0.0,0.0,0,0,0,0,0,0,2177,True,True,True,0,0,0
pyradiomics|synthetic_921102|identity,pyradiomics,synthetic_921102,synthetic,mr,identity,2,feature_input:original,satisfied,satisfied,requires_reextraction,,30fa671b9f1b069bc6902b5471e6b06156254ddd85e6ec12307a863db6fc8958,0.0,0.0,0,0,0,0,0,0,2177,True,True,True,0,0,0
pyradiomics|synthetic_921102|cubic_1p3,pyradiomics,synthetic_921102,synthetic,mr,cubic_1p3,0,loaded_input,satisfied,satisfied,requires_reextraction,,5b1efb8a42e39e2931e3bade1035acc5e1a5301698860cc7cfbb9d4857a78def,1.2861976864971564e-14,6.178368039400084e-09,0,0,0,0,0,0,2651,True,True,True,0,0,0
pyradiomics|synthetic_921102|cubic_1p3,pyradiomics,synthetic_921102,synthetic,mr,cubic_1p3,1,shape_dispatch,satisfied,satisfied,requires_reextraction,,29ce13f320554a7826520adc6ee1295d658997acd0890a507d94b86493768f8a,1.2861976864971564e-14,6.178368039400084e-09,0,0,0,0,0,0,2651,True,True,True,0,0,0
