engine,input_id,source_kind,modality,operation,completed,total_seconds,pair_id,status,native_values_unchanged,record_present,numeric_digest_equal,baseline_seconds,audited_seconds,baseline_value_count,observed_value_count,baseline_nonfinite_count,observed_nonfinite_count,checkpoint_count,relationship_acceptance,reason,raw_configuration_sha256,baseline_values_sha256,observed_values_sha256,resolved_configuration_sha256
mirp,synthetic_921101,synthetic,mr,identity,True,7.738951899998938,mirp|synthetic_921101|identity,satisfied,True,True,True,3.5679936000015005,2.9159491999998863,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,14af28bb1165ee25cf5d830fc6f28f6f3412ba041b28978eada908b79fd9757d,14af28bb1165ee25cf5d830fc6f28f6f3412ba041b28978eada908b79fd9757d,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921101,synthetic,mr,cubic_1p3,True,6.942959599997266,mirp|synthetic_921101|cubic_1p3,satisfied,True,True,True,2.177927799999452,3.6101546000027156,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,37e65cb54b7e713a74049d0c91dd9349080b6450669661f749263e7c33f4657b,37e65cb54b7e713a74049d0c91dd9349080b6450669661f749263e7c33f4657b,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921101,synthetic,mr,linear_1p3,True,6.620686199999909,mirp|synthetic_921101|linear_1p3,satisfied,True,True,True,2.4868279000002076,2.9843280000022787,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,bfd8c774692e86cbe97f662ad47f2b3ce60bb676b76aa26b75d5bc15bd4e18ca,bfd8c774692e86cbe97f662ad47f2b3ce60bb676b76aa26b75d5bc15bd4e18ca,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921102,synthetic,mr,identity,True,7.9711967000002915,mirp|synthetic_921102|identity,satisfied,True,True,True,3.075804000000062,3.636856400000397,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,118962370b2026232599fed9290d80e3f05e3d08deab2c87183aa9d3e659ff8c,118962370b2026232599fed9290d80e3f05e3d08deab2c87183aa9d3e659ff8c,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921102,synthetic,mr,cubic_1p3,True,10.79338330000246,mirp|synthetic_921102|cubic_1p3,satisfied,True,True,True,3.992106000001513,5.638127999998687,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,a39f0293a7699b4278dfa60d073045245012b1c6b0e8df6063a9b6cca4816b43,a39f0293a7699b4278dfa60d073045245012b1c6b0e8df6063a9b6cca4816b43,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921102,synthetic,mr,linear_1p3,True,8.481339500001923,mirp|synthetic_921102|linear_1p3,satisfied,True,True,True,3.3609207999979844,4.031697599999461,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,6048540faa360a7f4a2a2beab58334703adae040e91f14022be97e30dd434a83,6048540faa360a7f4a2a2beab58334703adae040e91f14022be97e30dd434a83,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921103,synthetic,mr,identity,True,11.590543800000887,mirp|synthetic_921103|identity,satisfied,True,True,True,4.889846800000669,5.57806680000067,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,250f9c68ce5017710aa7be5cbfc5480ee9733e8f7422b25e607cbd699b5c7852,250f9c68ce5017710aa7be5cbfc5480ee9733e8f7422b25e607cbd699b5c7852,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
mirp,synthetic_921103,synthetic,mr,cubic_1p3,True,10.762470899997425,mirp|synthetic_921103|cubic_1p3,satisfied,True,True,True,3.3107762999970873,6.25971859999845,185,185,0,0,1,True,,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f,65af80030f5cecca95969dc2a19724492e24c054736acc0abe4ef6e4df5cabbc,65af80030f5cecca95969dc2a19724492e24c054736acc0abe4ef6e4df5cabbc,b2fa5bfc8a4cdfed9730732024361d9562a8f77ae1972ac5c9bc397477711a3f
mirp,synthetic_921103,synthetic,mr,linear_1p3,True,13.71607959999892,mirp|synthetic_921103|linear_1p3,satisfied,True,True,True,5.804095799998322,6.61112299999877,185,185,0,0,1,True,,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa,1fca1ebd63eb9844767ad8dc5ff0b28cb58a77d8f7a58cff5498cc88898116dc,1fca1ebd63eb9844767ad8dc5ff0b28cb58a77d8f7a58cff5498cc88898116dc,241bdfb7df022ed113f0433b912019f2127935e0bd299e37983097b7122da3fa
mirp,synthetic_921104,synthetic,mr,identity,True,12.320194600000832,mirp|synthetic_921104|identity,satisfied,True,True,True,4.879020899999887,6.11473240000123,185,185,0,0,1,True,,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d,3c218e8f458d9b78aa6db4b8fc92bbc6d5f01fa8a6182f51d67ed27e5df78014,3c218e8f458d9b78aa6db4b8fc92bbc6d5f01fa8a6182f51d67ed27e5df78014,8965534a66c35246091191ffa9ba716d48484c58bc2c59b6a3a8569c5f7e4a9d
