dataset,case,kind,volume_id,row_id,mutation_active,sampling_status,paired_QA,source_aware_geometry,legacy_full_grid,file_status,sampling_status_agreement,coverage_status_agreement,reuse_decision_agreement,component_checks_agreement,coverage_status,sampling_reuse_decision,max_corner_error_mm,max_intensity_error,nominal_mismatched_intensity_voxels,nominal_mismatched_roi_voxels,ambiguous_intensity_voxels,ambiguous_roi_voxels,violating_intensity_voxels,violating_roi_voxels,candidate_roi_voxels,source_roi_voxels,source_roi_outside_candidate_fov,source_roi_definitely_outside_candidate_fov,source_roi_centres_near_fov_boundary,missing_roi_voxels,exact_roi_preserved,producer_seconds,witness_seconds,file_io_seconds,file_witness_seconds,file_unavailable_elapsed_seconds,drift_vs_source_roi_voxels,drift_vs_source_occupied_volume_mm3,drift_vs_source_mean,drift_vs_source_population_variance,drift_vs_correct_operation_roi_voxels,drift_vs_correct_operation_occupied_volume_mm3,drift_vs_correct_operation_mean,drift_vs_correct_operation_population_variance
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_001,"[""Task04_Hippocampus"",""hippocampus_001"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,2948,2948,0,0,0,0,True,0.0005879000000277301,0.006105300000854186,0.03714200000104029,0.005912100001296494,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_003,"[""Task04_Hippocampus"",""hippocampus_003"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3353,3353,0,0,0,0,True,0.000405700000555953,0.0072933999999804655,0.04235729999891191,0.007044399999358575,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_004,"[""Task04_Hippocampus"",""hippocampus_004"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3698,3698,0,0,0,0,True,0.0004549000004772097,0.008001700000022538,0.043544600001041545,0.00827700000081677,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_006,"[""Task04_Hippocampus"",""hippocampus_006"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,4263,4263,0,0,0,0,True,0.0009948000006261282,0.013383499999690684,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_007,"[""Task04_Hippocampus"",""hippocampus_007"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3372,3372,0,0,0,0,True,0.0010674000004655682,0.013496700001269346,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_008,"[""Task04_Hippocampus"",""hippocampus_008"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3248,3248,0,0,0,0,True,0.001149599998825579,0.014078399999561952,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_011,"[""Task04_Hippocampus"",""hippocampus_011"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3456,3456,0,0,0,0,True,0.000882399999682093,0.010172100001000217,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_014,"[""Task04_Hippocampus"",""hippocampus_014"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3622,3622,0,0,0,0,True,0.000996599999780301,0.0164667000008194,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_015,"[""Task04_Hippocampus"",""hippocampus_015"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,2819,2819,0,0,0,0,True,0.0007063000011839904,0.00874159999875701,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_017,"[""Task04_Hippocampus"",""hippocampus_017"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3478,3478,0,0,0,0,True,0.0008057000013650395,0.010703200001444202,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_019,"[""Task04_Hippocampus"",""hippocampus_019"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3356,3356,0,0,0,0,True,0.0010645999991538702,0.01426270000047225,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_020,"[""Task04_Hippocampus"",""hippocampus_020"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3611,3611,0,0,0,0,True,0.000753199999962817,0.011675100000502425,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_023,"[""Task04_Hippocampus"",""hippocampus_023"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3568,3568,0,0,0,0,True,0.0010428999994473998,0.012795299999197596,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_024,"[""Task04_Hippocampus"",""hippocampus_024"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,4030,4030,0,0,0,0,True,0.0010576000004220987,0.012588100000357372,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_025,"[""Task04_Hippocampus"",""hippocampus_025"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3326,3326,0,0,0,0,True,0.0008177999989129603,0.013823999999658554,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_026,"[""Task04_Hippocampus"",""hippocampus_026"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3628,3628,0,0,0,0,True,0.0010922000001301058,0.013101299999107141,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_033,"[""Task04_Hippocampus"",""hippocampus_033"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3423,3423,0,0,0,0,True,0.0008054999998421408,0.010717999999542371,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_034,"[""Task04_Hippocampus"",""hippocampus_034"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3375,3375,0,0,0,0,True,0.0007009000000834931,0.01338939999914146,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_035,"[""Task04_Hippocampus"",""hippocampus_035"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3450,3450,0,0,0,0,True,0.0010451999987708405,0.011058100000809645,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_036,"[""Task04_Hippocampus"",""hippocampus_036"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3509,3509,0,0,0,0,True,0.0010785999984364025,0.015880399998422945,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_037,"[""Task04_Hippocampus"",""hippocampus_037"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3195,3195,0,0,0,0,True,0.0010270999991917051,0.013312600000062957,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_038,"[""Task04_Hippocampus"",""hippocampus_038"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3558,3558,0,0,0,0,True,0.0006201000014698366,0.01227160000053118,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Task04_Hippocampus,crop_roi_margin,valid_control,hippocampus_039,"[""Task04_Hippocampus"",""hippocampus_039"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,satisfied,not_selected,,,,,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3658,3658,0,0,0,0,True,0.001038299998981529,0.01266600000053586,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
