dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
Task04_Hippocampus,crop_roi_margin,valid_control,producer_seconds,260,0,0.000405700000555953,0.0006630499997299921,0.0008324499995069345,0.0010396499992566532,0.0015153999993344769,0.0008510365384469109
Task04_Hippocampus,crop_roi_margin,valid_control,witness_seconds,260,0,0.005449399999633897,0.010193049999998038,0.011509049999403942,0.01324289999956818,0.02359020000039891,0.011723056153893524
Task04_Hippocampus,crop_roi_margin,valid_control,file_io_seconds,3,257,0.03714200000104029,0.0397496499999761,0.04235729999891191,0.04295094999997673,0.043544600001041545,0.041014633333664584
Task04_Hippocampus,crop_roi_margin,valid_control,file_witness_seconds,3,257,0.005912100001296494,0.0064782500003275345,0.007044399999358575,0.007660700000087672,0.00827700000081677,0.007077833333823946
Task04_Hippocampus,crop_roi_margin,valid_control,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,half_voxel_sampling_displacement,own_wrapper_mutation,producer_seconds,260,0,0.0026109999998880085,0.0045445499995366845,0.005416249999143474,0.006473699999787641,0.0093245999996725,0.005503543461488264
Task04_Hippocampus,half_voxel_sampling_displacement,own_wrapper_mutation,witness_seconds,260,0,0.021488799999133334,0.03635145000089324,0.04281110000010813,0.05001442499951736,0.09457049999946321,0.04392729038464985
Task04_Hippocampus,half_voxel_sampling_displacement,own_wrapper_mutation,file_io_seconds,3,257,0.05020140000124229,0.054862599999978556,0.05952379999871482,0.08285119999891322,0.10617859999911161,0.07196793333302291
Task04_Hippocampus,half_voxel_sampling_displacement,own_wrapper_mutation,file_witness_seconds,3,257,0.02204899999924237,0.026242299999466923,0.030435599999691476,0.041605299999901035,0.052775000000110595,0.03508653333301481
Task04_Hippocampus,half_voxel_sampling_displacement,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,identity,valid_control,producer_seconds,260,0,0.0,0.0,0.0,0.0,0.0,0.0
Task04_Hippocampus,identity,valid_control,witness_seconds,260,0,0.005220100001679384,0.009942600000158563,0.011315900000226975,0.012774625000020023,0.022616000000198255,0.011374951538367055
Task04_Hippocampus,identity,valid_control,file_io_seconds,3,257,0.027829600001496146,0.02852110000094399,0.02921260000039183,0.02924330000041664,0.029274000000441447,0.02877206666744314
Task04_Hippocampus,identity,valid_control,file_witness_seconds,3,257,0.0063294000010500895,0.006440850000217324,0.006552299999384559,0.007326449999709439,0.00810060000003432,0.0069941000001563225
Task04_Hippocampus,identity,valid_control,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,isotropic_0p8mm,valid_control,producer_seconds,260,0,0.0027019000008294825,0.004472174999591516,0.005787150000287511,0.006854825000118581,0.008855599999151309,0.0057383246154411325
Task04_Hippocampus,isotropic_0p8mm,valid_control,witness_seconds,260,0,0.021817900000314694,0.03583845000002839,0.041785649999837915,0.04907482499947946,0.09420270000009623,0.04292550346146807
