dataset,volume_id,status,source_shape,file_roundtrip_selected,failed_case,operation_phase,total_seconds,input_io_seconds,input_to_native_seconds
Task04_Hippocampus,hippocampus_001,evaluated,"[35,51,35]",True,,,0.9907060999994428,0.004273299999113078,0.0004714999995485414
Task04_Hippocampus,hippocampus_003,evaluated,"[34,52,35]",True,,,1.0610727999992378,0.004913599999781582,0.0004650999999284977
Task04_Hippocampus,hippocampus_004,evaluated,"[36,52,38]",True,,,1.7890157000001636,0.003946900000300957,0.00040690000059839804
Task04_Hippocampus,hippocampus_006,evaluated,"[35,52,34]",False,,,0.4489828999994643,0.008754300000873627,0.0006112999999459134
Task04_Hippocampus,hippocampus_007,evaluated,"[34,47,40]",False,,,0.4926300999995874,0.010192600000664243,0.000740100000257371
Task04_Hippocampus,hippocampus_008,evaluated,"[36,48,40]",False,,,0.4918653999993694,0.011598500001127832,0.0007712999995419523
Task04_Hippocampus,hippocampus_011,evaluated,"[36,50,31]",False,,,0.3743028000008053,0.007192499999291613,0.0004933000000164611
Task04_Hippocampus,hippocampus_014,evaluated,"[39,50,40]",False,,,0.505206800000451,0.009444099998290767,0.0006953000010980759
Task04_Hippocampus,hippocampus_015,evaluated,"[42,51,28]",False,,,0.3831265999997413,0.008242099998824415,0.0005165999991731951
Task04_Hippocampus,hippocampus_017,evaluated,"[35,48,32]",False,,,0.34705960000064806,0.00728750000052969,0.00043249999907857273
Task04_Hippocampus,hippocampus_019,evaluated,"[36,47,41]",False,,,0.46188160000019707,0.008288200000606594,0.000733599999875878
Task04_Hippocampus,hippocampus_020,evaluated,"[36,46,43]",False,,,0.4958423000007315,0.008622699999250472,0.000855500000398024
Task04_Hippocampus,hippocampus_023,evaluated,"[35,51,35]",False,,,0.4421755999992456,0.008620399999927031,0.0009059000003617257
Task04_Hippocampus,hippocampus_024,evaluated,"[38,52,33]",False,,,0.43767290000141656,0.008921500000724336,0.0007291000001714565
Task04_Hippocampus,hippocampus_025,evaluated,"[35,48,35]",False,,,0.3990971000002901,0.009136900000157766,0.000679300001138472
Task04_Hippocampus,hippocampus_026,evaluated,"[36,50,36]",False,,,0.42592420000073616,0.008319599999595084,0.0007002999991527759
Task04_Hippocampus,hippocampus_033,evaluated,"[33,48,38]",False,,,0.3992860999987897,0.01093839999884949,0.0006441999994422076
Task04_Hippocampus,hippocampus_034,evaluated,"[36,49,40]",False,,,0.4803126999995584,0.0071755999997549225,0.0006266999989748001
Task04_Hippocampus,hippocampus_035,evaluated,"[35,47,37]",False,,,0.4427367999996932,0.0087028999987524,0.0006966000000829808
Task04_Hippocampus,hippocampus_036,evaluated,"[36,47,39]",False,,,0.5213726999991195,0.010423800000353367,0.00090970000019297
Task04_Hippocampus,hippocampus_037,evaluated,"[34,51,32]",False,,,0.43893430000025546,0.011504299998705392,0.0008966000004875241
Task04_Hippocampus,hippocampus_038,evaluated,"[37,51,35]",False,,,0.4594640999985131,0.008220499999879394,0.0006501999996544328
Task04_Hippocampus,hippocampus_039,evaluated,"[34,53,34]",False,,,0.459853700000167,0.010838599999260623,0.0008357000006071758
Task04_Hippocampus,hippocampus_040,evaluated,"[36,52,37]",False,,,0.48633930000141845,0.009706599999844912,0.0007839000008971198
Task04_Hippocampus,hippocampus_041,evaluated,"[36,51,34]",False,,,0.41483509999852686,0.008665299999847775,0.0005225999993854202
Task04_Hippocampus,hippocampus_042,evaluated,"[37,52,34]",False,,,0.5047771000008652,0.009986199998820666,0.0006501000007119728
Task04_Hippocampus,hippocampus_044,evaluated,"[38,48,33]",False,,,0.4872756999993726,0.009108399999604444,0.000717699998858734
Task04_Hippocampus,hippocampus_045,evaluated,"[36,48,37]",False,,,0.521078399999169,0.00806890000058047,0.0005481000007421244
Task04_Hippocampus,hippocampus_046,evaluated,"[36,49,38]",False,,,0.4746025999993435,0.009515499999906751,0.0006837000000814442
Task04_Hippocampus,hippocampus_048,evaluated,"[38,52,29]",False,,,0.3753818000004685,0.008233799999288749,0.0007564999996247934
Task04_Hippocampus,hippocampus_049,evaluated,"[35,51,36]",False,,,0.4897670999998809,0.008427599999777158,0.0007784999997966224
