dataset,case,kind,volume_id,row_id,mutation_active,sampling_status,paired_QA,source_aware_geometry,legacy_full_grid,file_status,sampling_status_agreement,coverage_status_agreement,reuse_decision_agreement,component_checks_agreement,coverage_status,sampling_reuse_decision,max_corner_error_mm,max_intensity_error,nominal_mismatched_intensity_voxels,nominal_mismatched_roi_voxels,ambiguous_intensity_voxels,ambiguous_roi_voxels,violating_intensity_voxels,violating_roi_voxels,candidate_roi_voxels,source_roi_voxels,source_roi_outside_candidate_fov,source_roi_definitely_outside_candidate_fov,source_roi_centres_near_fov_boundary,missing_roi_voxels,exact_roi_preserved,producer_seconds,witness_seconds,file_io_seconds,file_witness_seconds,file_unavailable_elapsed_seconds,drift_vs_source_roi_voxels,drift_vs_source_occupied_volume_mm3,drift_vs_source_mean,drift_vs_source_population_variance,drift_vs_correct_operation_roi_voxels,drift_vs_correct_operation_occupied_volume_mm3,drift_vs_correct_operation_mean,drift_vs_correct_operation_population_variance
synthetic,crop_roi_margin,valid_control,synthetic_31000,"[""synthetic"",""synthetic_31000"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,2566,2566,0,0,0,0,True,0.0008218999992095632,0.002631499999552034,0.03716389999863168,0.0023809999984223396,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31001,"[""synthetic"",""synthetic_31001"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,3.7470027081099033e-16,0.0,0,0,0,0,0,0,1831,1831,0,0,0,0,True,0.0003797000008489704,0.0018023000011453405,0.03281470000001718,0.0019350000002305023,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31002,"[""synthetic"",""synthetic_31002"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,1961,1961,0,0,0,0,True,0.0003876999999192776,0.0017898000005516224,0.036230100000466336,0.002220800000941381,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31003,"[""synthetic"",""synthetic_31003"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,3.552713678800501e-15,0.0,0,0,0,0,0,0,2643,2643,0,0,0,0,True,0.00039230000038514845,0.0046844999997119885,0.05782369999906223,0.00611400000161666,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31004,"[""synthetic"",""synthetic_31004"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,2076,2076,0,0,0,0,True,0.0007665999983146321,0.003819100000328035,0.04946400000153517,0.0035045000004174653,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31005,"[""synthetic"",""synthetic_31005"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,3376,3376,0,0,0,0,True,0.0006164999995235121,0.004267700000127661,0.04932080000071437,0.004427800000485149,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31006,"[""synthetic"",""synthetic_31006"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,7.944109290391274e-15,0.0,0,0,0,0,0,0,1718,1718,0,0,0,0,True,0.0009408999994775513,0.004063300000780146,0.0579730000008567,0.0041013000009115785,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31007,"[""synthetic"",""synthetic_31007"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,1.4210854715202004e-14,0.0,0,0,0,0,0,0,2920,2920,0,0,0,0,True,0.000587200000154553,0.004066199999215314,0.04907209999873885,0.004363399999419926,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31008,"[""synthetic"",""synthetic_31008"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,1529,1529,0,0,0,0,True,0.0005507000005309237,0.00269289999960165,0.0500661999994918,0.003884900001139613,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
synthetic,crop_roi_margin,valid_control,synthetic_31009,"[""synthetic"",""synthetic_31009"",""crop_roi_margin""]",,satisfied,satisfied,satisfied,not_applicable,satisfied,True,True,True,True,satisfied,input_roi_preserved,0.0,0.0,0,0,0,0,0,0,2217,2217,0,0,0,0,True,0.000693199999659555,0.004680699999880744,0.06268830000044545,0.004557100000965875,,0,0.0,0.0,0.0,0,0.0,0.0,0.0
