dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
synthetic,crop_roi_margin,valid_control,producer_seconds,32,0,0.0003797000008489704,0.0006135249996077619,0.0006890000004204921,0.0009410999996362079,0.0010946000002149958,0.0007532812500130603
synthetic,crop_roi_margin,valid_control,witness_seconds,32,0,0.0017898000005516224,0.003805975000432227,0.004197049999675073,0.004691349999575323,0.00641639999957988,0.004183868749976227
synthetic,crop_roi_margin,valid_control,file_io_seconds,32,0,0.03281470000001718,0.05456824999919263,0.05745350000051985,0.05876092500102459,0.06798280000111845,0.055195009375154314
synthetic,crop_roi_margin,valid_control,file_witness_seconds,32,0,0.0019350000002305023,0.0040857000008145405,0.004459350000615814,0.005493474999639147,0.006260000000111177,0.004584278125150831
synthetic,crop_roi_margin,valid_control,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,half_voxel_sampling_displacement,own_wrapper_mutation,producer_seconds,32,0,0.0020244999996066326,0.0047339250004370115,0.0058071000003110385,0.007896900000559981,0.01189410000006319,0.0063473249999788095
synthetic,half_voxel_sampling_displacement,own_wrapper_mutation,witness_seconds,32,0,0.012234300000272924,0.037674874999993335,0.04704025000046386,0.06606132500019157,0.0909988000003068,0.050449531250365
synthetic,half_voxel_sampling_displacement,own_wrapper_mutation,file_io_seconds,32,0,0.045243100001243874,0.08564689999911934,0.10187779999978375,0.11354870000104711,0.1494762999991508,0.09750200000001996
synthetic,half_voxel_sampling_displacement,own_wrapper_mutation,file_witness_seconds,32,0,0.012434400001438917,0.03592712499994377,0.048232049999569426,0.0654020249999121,0.0842568999996729,0.05055190624995021
synthetic,half_voxel_sampling_displacement,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,identity,valid_control,producer_seconds,32,0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,identity,valid_control,witness_seconds,32,0,0.00170080000134476,0.0032358999997086357,0.004285999999410706,0.00489270000025499,0.006485300000349525,0.004111771875045633
synthetic,identity,valid_control,file_io_seconds,32,0,0.023061000001689536,0.03710460000002058,0.04395545000079437,0.045302625000658736,0.052158200000121724,0.04118026562508703
synthetic,identity,valid_control,file_witness_seconds,32,0,0.0019792000002780696,0.004030875001262757,0.004600350000146136,0.005458725000153208,0.007180399999924703,0.004543706250217383
synthetic,identity,valid_control,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,isotropic_0p8mm,valid_control,producer_seconds,32,0,0.002092199998514843,0.004862825000145676,0.00645769999937329,0.00805967500036786,0.012128500000471831,0.00651833124982204
synthetic,isotropic_0p8mm,valid_control,witness_seconds,32,0,0.011793499999839696,0.034171175000210496,0.05129239999951096,0.061312350000207516,0.0755871000001207,0.048516078124919204
synthetic,isotropic_0p8mm,valid_control,file_io_seconds,32,0,0.04242869999870891,0.08795555000051536,0.09707950000029086,0.11460307500010458,0.13069370000084746,0.09686152500023582
synthetic,isotropic_0p8mm,valid_control,file_witness_seconds,32,0,0.012705999999525375,0.038066424999669835,0.05005850000088685,0.0624728500006313,0.07717740000043705,0.04958534375015233
synthetic,isotropic_0p8mm,valid_control,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,isotropic_1mm,valid_control,producer_seconds,32,0,0.0016204000003199326,0.0034011249990726355,0.004458450000129233,0.005399125000622007,0.0069839000007050345,0.004438090625001223
synthetic,isotropic_1mm,valid_control,witness_seconds,32,0,0.005308699999659439,0.015701000000717613,0.02405445000022155,0.03328804999955537,0.04016539999975066,0.024551409374907962
synthetic,isotropic_1mm,valid_control,file_io_seconds,32,0,0.03789379999943776,0.06577039999956469,0.07072289999996428,0.08132394999984172,0.09215270000095188,0.07175457187486245
synthetic,isotropic_1mm,valid_control,file_witness_seconds,32,0,0.005298800000673509,0.016249925000465737,0.024823849998938385,0.029566574999535078,0.04201199999988603,0.024456528125085697
synthetic,isotropic_1mm,valid_control,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,isotropic_2mm,valid_control,producer_seconds,32,0,0.0010657000002538553,0.0017642499997236882,0.0023812500012354576,0.0027309249999234453,0.0033944999995583203,0.0022762562500133754
synthetic,isotropic_2mm,valid_control,witness_seconds,32,0,0.0010545000004640315,0.002647174999310664,0.003161099999488215,0.0038750250005250564,0.005690800000593299,0.003307684375158715
synthetic,isotropic_2mm,valid_control,file_io_seconds,32,0,0.02713179999955173,0.041619925000759395,0.04738675000044168,0.05186187500021333,0.057945399999880465,0.04596028437504174
synthetic,isotropic_2mm,valid_control,file_witness_seconds,32,0,0.0010184000002482207,0.002260174999719311,0.0031829500003368594,0.0037994999997863488,0.005281400000967551,0.003079290625066733
synthetic,isotropic_2mm,valid_control,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,linear_mask_threshold,own_wrapper_mutation,producer_seconds,32,0,0.0030614000006607966,0.006507825000426237,0.009122850000494509,0.010902650000389258,0.015442400001120404,0.00909990625024193
synthetic,linear_mask_threshold,own_wrapper_mutation,witness_seconds,32,0,0.012355799999568262,0.03559545000052822,0.048298600000634906,0.06362142500074697,0.08243640000000596,0.048865506250251656
synthetic,linear_mask_threshold,own_wrapper_mutation,file_io_seconds,32,0,0.04487369999878865,0.08389012499947057,0.0995224500002223,0.1143013750006503,0.1455043999994814,0.09857125312487369
