dataset,case,kind,in_memory_status,file_status,sampling_status_agreement,coverage_status_agreement,reuse_decision_agreement,component_checks_agreement,n,row_ids
synthetic,crop_roi_margin,valid_control,satisfied,satisfied,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""crop_roi_margin\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""crop_roi_margin\""]""]"
synthetic,half_voxel_sampling_displacement,own_wrapper_mutation,violated,violated,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""half_voxel_sampling_displacement\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""half_voxel_sampling_displacement\""]""]"
synthetic,identity,valid_control,satisfied,satisfied,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""identity\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""identity\""]""]"
synthetic,isotropic_0p8mm,valid_control,satisfied,satisfied,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""isotropic_0p8mm\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""isotropic_0p8mm\""]""]"
synthetic,isotropic_1mm,valid_control,satisfied,satisfied,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""isotropic_1mm\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""isotropic_1mm\""]""]"
synthetic,isotropic_2mm,valid_control,satisfied,satisfied,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""isotropic_2mm\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""isotropic_2mm\""]""]"
synthetic,linear_mask_threshold,own_wrapper_mutation,violated,violated,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""linear_mask_threshold\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""linear_mask_threshold\""]""]"
synthetic,orient,valid_control,satisfied,satisfied,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""orient\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""orient\""]""]"
synthetic,pad,valid_control,satisfied,satisfied,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""pad\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""pad\""]""]"
synthetic,premature_integer_storage,own_wrapper_mutation,violated,violated,True,True,True,True,32,"[""[\""synthetic\"",\""synthetic_31000\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31001\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31002\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31003\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31004\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31005\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31006\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31007\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31008\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31009\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31010\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31011\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31012\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31013\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31014\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31015\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31016\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31017\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31018\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31019\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31020\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31021\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31022\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31023\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31024\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31025\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31026\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31027\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31028\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31029\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31030\"",\""premature_integer_storage\""]"",""[\""synthetic\"",\""synthetic_31031\"",\""premature_integer_storage\""]""]"
